created_at,sentiment
2018-03-21 10:14:54,positive
2018-03-21 10:14:53,positive
2018-03-21 10:14:53,negative
2018-03-21 10:14:51,positive
2018-03-21 10:14:51,positive
2018-03-21 10:14:50,neutral
2018-03-21 10:14:49,neutral
2018-03-21 10:14:46,neutral
2018-03-21 10:14:44,neutral
2018-03-21 10:14:43,neutral
2018-03-21 10:14:43,positive
2018-03-21 10:14:41,neutral
2018-03-21 10:14:41,positive
2018-03-21 10:14:41,neutral
2018-03-21 10:14:40,neutral
2018-03-21 10:14:39,negative
2018-03-21 10:14:38,negative
2018-03-21 10:14:36,neutral
2018-03-21 10:14:36,positive
2018-03-21 10:14:32,negative
2018-03-21 10:14:31,neutral
2018-03-21 10:14:31,positive
2018-03-21 10:14:30,negative
2018-03-21 10:14:30,neutral
2018-03-21 10:14:29,positive
2018-03-21 10:14:27,negative
2018-03-21 10:14:26,negative
2018-03-21 10:14:25,neutral
2018-03-21 10:14:23,negative
2018-03-21 10:14:22,positive
2018-03-21 10:14:21,neutral
2018-03-21 10:14:20,neutral
2018-03-21 10:14:19,neutral
2018-03-21 10:14:19,positive
2018-03-21 10:14:19,neutral
2018-03-21 10:14:19,neutral
2018-03-21 10:14:19,neutral
2018-03-21 10:14:18,neutral
2018-03-21 10:14:18,neutral
2018-03-21 10:14:18,neutral
2018-03-21 10:14:17,neutral
2018-03-21 10:14:14,neutral
2018-03-21 10:14:13,positive
2018-03-21 10:14:12,positive
2018-03-21 10:14:11,neutral
2018-03-21 10:14:11,neutral
2018-03-21 10:14:11,positive
2018-03-21 10:14:11,neutral
2018-03-21 10:14:09,neutral
2018-03-21 10:14:08,neutral
2018-03-21 10:14:07,positive
2018-03-21 10:14:07,neutral
2018-03-21 10:14:06,neutral
2018-03-21 10:14:05,positive
2018-03-21 10:14:03,neutral
2018-03-21 10:14:03,negative
2018-03-21 10:14:02,positive
2018-03-21 10:14:02,neutral
2018-03-21 10:14:01,neutral
